序号,实体名,中文名,工业用途分类,软件模块分类,EXPRESS schema,说明链接
94,applied_group_assignment,应用组赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,group_mim,https://www.steptools.com/stds/smrl/data/modules/group/sys/5_mim.htm#group_mim.applied_group_assignment
95,applied_identification_assignment,应用标识赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,identification_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/identification_assignment/sys/5_mim.htm#identification_assignment_mim.applied_identification_assignment
96,applied_ineffectivity_assignment,应用无效性赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration） / 有效性 / 版本（effectivity & versioning）,effectivity_application_mim,https://www.steptools.com/stds/smrl/data/modules/effectivity_application/sys/5_mim.htm#effectivity_application_mim.applied_ineffectivity_assignment
97,applied_name_assignment,应用名称赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,name_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/name_assignment/sys/5_mim.htm#name_assignment_mim.applied_name_assignment
98,applied_organization_assignment,应用组织赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,person_organization_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/person_organization_assignment/sys/5_mim.htm#person_organization_assignment_mim.applied_organization_assignment
99,applied_organizational_project_assignment,应用组织项目赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,project_mim,https://www.steptools.com/stds/smrl/data/modules/project/sys/5_mim.htm#project_mim.applied_organizational_project_assignment
100,applied_person_and_organization_assignment,应用人员与组织赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,person_organization_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/person_organization_assignment/sys/5_mim.htm#person_organization_assignment_mim.applied_person_and_organization_assignment
101,applied_presented_item,应用被表示项,渲染 / 外观 / 可视化 / 产品 / 配置 / 数据管理（PDM）,渲染 / 可视化（rendering & visualization） / 数据管理 / 配置（PDM & configuration） / 元模型 / 表示框架（representation framework）,presentation_hierarchy_mim,https://www.steptools.com/stds/smrl/data/modules/presentation_hierarchy/sys/5_mim.htm#presentation_hierarchy_mim.applied_presented_item
102,applied_security_classification_assignment,应用安全分类赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,security_classification_mim,https://www.steptools.com/stds/smrl/data/modules/security_classification/sys/5_mim.htm#security_classification_mim.applied_security_classification_assignment
103,applied_time_interval_assignment,应用时间区间赋值,产品 / 配置 / 数据管理（PDM） / 表达式 / 数学 / 矩阵,数据管理 / 配置（PDM & configuration）,time_interval_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/time_interval_assignment/sys/5_mim.htm#time_interval_assignment_mim.applied_time_interval_assignment
104,applied_usage_right,应用用法右,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,information_rights_mim,https://www.steptools.com/stds/smrl/data/modules/information_rights/sys/5_mim.htm#information_rights_mim.applied_usage_right
105,approval,批准,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval
106,approval_assignment,批准赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.approval_assignment
107,approval_date_time,批准日期时间,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_date_time
108,approval_person_organization,批准人员组织,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_person_organization
109,approval_relationship,批准关系,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_relationship
110,approval_role,批准角色,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_role
111,approval_status,批准状态,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,approval_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/6_schema.htm#approval_schema.approval_status
112,area_in_set,集合中的面积,其他 / 通用基础,渲染 / 可视化（rendering & visualization）,presentation_organization_schema,https://www.steptools.com/stds/smrl/data/resource_docs/visual_presentation/sys/4_schema.htm#presentation_organization_schema.area_in_set
113,area_measure_with_unit,带单位的面积量,电力 / 物理量 / 计量单位,检测 / PMI（inspection & tolerance）,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.area_measure_with_unit
114,area_unit,面积单位,电力 / 物理量 / 计量单位,其他 / 通用基础,measure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/19_schema.htm#measure_schema.area_unit
115,asin_function,反正弦函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
116,assembly_component_usage,装配组件用法,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.assembly_component_usage
117,assembly_component_usage_substitute,装配组件用法替代,产品 / 配置 / 数据管理（PDM）,装配 / 结构（assembly & structure） / 数据管理 / 配置（PDM & configuration）,product_structure_schema,https://www.steptools.com/stds/smrl/data/resource_docs/product_structure_configuration/sys/4_schema.htm#product_structure_schema.assembly_component_usage_substitute
118,assigned_requirement,赋值要求,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,requirement_assignment_mim,https://www.steptools.com/stds/smrl/data/modules/requirement_assignment/sys/5_mim.htm#requirement_assignment_mim.assigned_requirement
119,atan_function,反正切函数,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/logical_model_of_expressions/ISO_13584-20_1998(E)-Character_PDF_document.pdf
120,atom_based_literal,原子基于字面量,表达式 / 数学 / 矩阵,其他 / 通用基础,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
121,attribute_classification_assignment,属性分类赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_classification_assignment
122,attribute_language_assignment,属性语言赋值,产品 / 配置 / 数据管理（PDM）,数据管理 / 配置（PDM & configuration）,multi_linguism_mim,https://www.steptools.com/stds/smrl/data/modules/multi_linguism/sys/5_mim.htm#multi_linguism_mim.attribute_language_assignment
123,attribute_value_assignment,属性值赋值,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_value_assignment
124,attribute_value_role,属性值角色,产品 / 配置 / 数据管理（PDM）,2D 绘图 / 草图（2D drafting & sketch） / 数据管理 / 配置（PDM & configuration）,management_resources_schema,https://www.steptools.com/stds/smrl/data/resource_docs/fundamentals_of_product_description_and_support/sys/18_schema.htm#management_resources_schema.attribute_value_role
125,auxiliary_leader_line,辅助指引线线,制图 / 标注 / 工程图,2D 绘图 / 草图（2D drafting & sketch） / 制图 / 工程图（drawing & annotation）,draughting_element_schema,https://www.steptools.com/stds/smrl/data/resource_docs/draughting/sys/5_schema.htm#draughting_element_schema.auxiliary_leader_line
126,axis1_placement,轴1放置,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis1_placement
127,axis2_placement_2d,二维轴2放置,几何 / 拓扑 / 实体造型,2D 绘图 / 草图（2D drafting & sketch） / 3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis2_placement_2d
128,axis2_placement_3d,三维轴2放置,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.axis2_placement_3d
129,b_spline_basis,B样条基,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,3D 建模 / 实体造型（3D modeling & solid）,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
130,b_spline_curve,B 样条曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_curve
131,b_spline_curve_with_knots,带节点的B 样条曲线,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_curve_with_knots
132,b_spline_function,B样条函数,几何 / 拓扑 / 实体造型 / 表达式 / 数学 / 矩阵,3D 建模 / 实体造型（3D modeling & solid）,,https://www.steptools.com/stds/smrl/data/resource_docs/mathematical_constructs/ISO_10303-50_2002(E)-Character_PDF_document.pdf
133,b_spline_surface,B 样条曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_surface
134,b_spline_surface_with_knots,带节点的B 样条曲面,几何 / 拓扑 / 实体造型,3D 建模 / 实体造型（3D modeling & solid）,geometry_schema,https://www.steptools.com/stds/smrl/data/resource_docs/geometric_and_topological_representation/sys/4_schema.htm#geometry_schema.b_spline_surface_with_knots
